time,Filtered_Torque_Signal
3.633535861968994141e+00,1.525494421435057646e+00
3.642535924911499023e+00,1.530723975101305312e+00
3.651535749435424805e+00,1.535857384343484622e+00
3.661561965942382812e+00,1.540964882287490623e+00
3.669536590576171875e+00,1.546038784062693461e+00
3.678536415100097656e+00,1.551091055854292300e+00
3.687536478042602539e+00,1.556122073198637601e+00
3.696535587310791016e+00,1.561121302365603647e+00
3.706536293029785156e+00,1.566092071249962636e+00
3.713536262512207031e+00,1.571038018275728421e+00
3.723038673400878906e+00,1.575949268951447824e+00
3.732038736343383789e+00,1.580820609313340785e+00
3.743041276931762695e+00,1.585677166655964143e+00
3.751038312911987305e+00,1.590482673901350230e+00
3.760045289993286133e+00,1.595273729017327335e+00
3.769061326980590820e+00,1.600041739657833029e+00
3.777038574218750000e+00,1.604786402647891741e+00
3.786926984786987305e+00,1.609512264618033539e+00
3.795926094055175781e+00,1.614195754485318046e+00
3.805030584335327148e+00,1.619796443076290560e+00
3.813030958175659180e+00,1.625351132768432905e+00
3.822724819183349609e+00,1.630879349487215801e+00
3.831726074218750000e+00,1.636374597124457431e+00
3.840724468231201172e+00,1.641843313928178505e+00
3.849724292755126953e+00,1.647230124537807150e+00
3.858724355697631836e+00,1.652563103697083369e+00
3.867737293243408203e+00,1.657853077272396281e+00
3.875724792480468750e+00,1.663109710086446480e+00
3.884725093841552734e+00,1.668330214850268334e+00
3.894724369049072266e+00,1.673475480167871066e+00
3.903779983520507812e+00,1.678586806351103577e+00
3.912780523300170898e+00,1.683661430479666210e+00
3.921473979949951172e+00,1.688733343313452817e+00
3.930472850799560547e+00,1.693787103460760335e+00
3.940473318099975586e+00,1.698803404431880271e+00
3.949473619461059570e+00,1.703781020830784421e+00
3.957473278045654297e+00,1.708718414445461908e+00
3.966474056243896484e+00,1.713610552997839154e+00
3.976472854614257812e+00,1.718468597624422056e+00
3.984472751617431641e+00,1.723276659043466497e+00
3.998472929000854492e+00,1.728043285577754551e+00
4.007475137710571289e+00,1.732763902716348392e+00
4.015476703643798828e+00,1.737443361911927164e+00
4.024982452392578125e+00,1.742113864992144157e+00
4.032983064651489258e+00,1.746739782826866039e+00
4.042983055114746094e+00,1.751298182379235513e+00
4.051002740859985352e+00,1.755799146653538978e+00
4.059983730316162109e+00,1.760237517669477558e+00
4.067982912063598633e+00,1.764592028642637311e+00
4.078031301498413086e+00,1.767871297788583096e+00
4.085982561111450195e+00,1.771085213390518831e+00
4.094982385635375977e+00,1.774249919790397811e+00
4.103986024856567383e+00,1.777370897703339114e+00
4.111985921859741211e+00,1.780435506234087972e+00
4.121493101119995117e+00,1.783483489868016969e+00
4.129492282867431641e+00,1.786520597727724313e+00
4.139491558074951172e+00,1.789526286265788801e+00
4.147938251495361328e+00,1.792461010615312267e+00
4.156927824020385742e+00,1.795354699231678008e+00
4.165927648544311523e+00,1.798212360014441069e+00
4.175927877426147461e+00,1.801064074113072122e+00
4.183928012847900391e+00,1.803867016274722790e+00
4.193948745727539062e+00,1.806626831139476641e+00
4.202932834625244141e+00,1.809343042960844805e+00
4.213074445724487305e+00,1.812043691487724928e+00
4.224982976913452148e+00,1.814720913721497686e+00
4.232983589172363281e+00,1.817372486891779326e+00
4.241983175277709961e+00,1.819989422117477273e+00
4.250982761383056641e+00,1.822575925223543392e+00
4.259989500045776367e+00,1.825099967022261627e+00
4.267982959747314453e+00,1.827595792740199565e+00
4.277982711791992188e+00,1.830093913642470316e+00
4.286983251571655273e+00,1.832560434374983949e+00
4.295982837677001953e+00,1.834979866404033100e+00
4.304031848907470703e+00,1.837394321730024593e+00
4.314031600952148438e+00,1.839756824646320066e+00
4.323636531829833984e+00,1.842100929183657643e+00
4.332643985748291016e+00,1.844405763284767907e+00
4.341634035110473633e+00,1.846679703861063393e+00
4.349634408950805664e+00,1.848898321887545659e+00
4.358634471893310547e+00,1.851062233472489771e+00
4.367634534835815430e+00,1.853181946268580349e+00
4.376634597778320312e+00,1.855240093958843595e+00
4.385634183883666992e+00,1.857270886116952457e+00
4.394636631011962891e+00,1.859235609624575902e+00
4.402634859085083008e+00,1.861144317553267147e+00
4.412636518478393555e+00,1.863001125843277261e+00
4.422338247299194336e+00,1.864829386342386375e+00
4.430335760116577148e+00,1.866603812391473438e+00
4.440335988998413086e+00,1.868345742768728002e+00
4.448336124420166016e+00,1.869995426884694112e+00
4.458336353302001953e+00,1.871593482358617111e+00
4.466336011886596680e+00,1.873144636186883760e+00
4.475336313247680664e+00,1.874661990872529049e+00
4.485339403152465820e+00,1.876100043654338245e+00
4.493335962295532227e+00,1.877477391009590102e+00
4.502335548400878906e+00,1.878822598194072713e+00
4.510337114334106445e+00,1.880142507268633079e+00
4.518840551376342773e+00,1.881405327451961762e+00
4.527856826782226562e+00,1.882672214882802120e+00
4.537842512130737305e+00,1.883875800649247312e+00
4.545841455459594727e+00,1.884988849123197197e+00
4.555840492248535156e+00,1.886076973264392498e+00
4.564840316772460938e+00,1.887153135814556348e+00
4.572840929031372070e+00,1.888141311844675485e+00
4.581840991973876953e+00,1.889115763031939732e+00
4.590840339660644531e+00,1.890077181354936187e+00
4.598840475082397461e+00,1.891002943777766676e+00
4.607841491699218750e+00,1.891914048722914465e+00
4.616841793060302734e+00,1.892821566611820883e+00
4.624988555908203125e+00,1.893726216995928580e+00
4.634988546371459961e+00,1.894636606728004713e+00
4.643987178802490234e+00,1.895528663128804192e+00
4.651987791061401367e+00,1.896397378601370143e+00
4.661236286163330078e+00,1.897269612289801177e+00
4.670235872268676758e+00,1.898128681593233891e+00
4.679236173629760742e+00,1.898983460362966724e+00
4.689319372177124023e+00,1.899812799857960810e+00
4.697237968444824219e+00,1.900649748053037769e+00
4.706251859664916992e+00,1.901481561876196880e+00
4.714251041412353516e+00,1.902322851527427083e+00
4.724947452545166016e+00,1.903159956073528614e+00
4.732949495315551758e+00,1.903993599307196138e+00
4.743016719818115234e+00,1.904754958942446397e+00
4.750947713851928711e+00,1.905529022238652948e+00
4.758946657180786133e+00,1.906304399060899657e+00
4.767945051193237305e+00,1.907013724531263277e+00
4.777954339981079102e+00,1.907718554867005034e+00
4.785946369171142578e+00,1.908404528906144648e+00
4.795946359634399414e+00,1.909060224746424783e+00
4.804966926574707031e+00,1.909712539281921639e+00
4.813966989517211914e+00,1.910392796051180841e+00
4.823713541030883789e+00,1.911084495529972394e+00
4.831663370132446289e+00,1.911745489490455974e+00
4.840661764144897461e+00,1.912399393186460239e+00
4.849661111831665039e+00,1.913038101776281197e+00
4.858661413192749023e+00,1.913634277866421263e+00
4.867661237716674805e+00,1.914213781673699710e+00
4.878663301467895508e+00,1.914778288189571631e+00
4.887692689895629883e+00,1.915325907324895827e+00
4.895661354064941406e+00,1.915860885676970993e+00
4.904664754867553711e+00,1.916378833522080827e+00
4.914666414260864258e+00,1.916894449454557670e+00
4.923170328140258789e+00,1.917395233005211974e+00
4.932169198989868164e+00,1.917865916274218208e+00
4.941169500350952148e+00,1.918309295805659120e+00
4.949169635772705078e+00,1.918713157749266873e+00
4.959187746047973633e+00,1.919114589960525752e+00
4.967169284820556641e+00,1.919494897776098163e+00
4.977172851562500000e+00,1.919849518692405388e+00
4.986191034317016602e+00,1.920173961206190771e+00
4.996181488037109375e+00,1.920478405860896132e+00
5.005171298980712891e+00,1.920741015568258936e+00
5.014185190200805664e+00,1.921048136920834981e+00
5.023695230484008789e+00,1.921338416633855406e+00
5.031674146652221680e+00,1.921611539548942593e+00
5.041680574417114258e+00,1.921882549917486083e+00
5.049674034118652344e+00,1.922137263539354768e+00
5.058683156967163086e+00,1.922371951421675274e+00
5.066674947738647461e+00,1.922590271676745788e+00
5.076675415039062500e+00,1.922804402730730056e+00
5.085674047470092773e+00,1.922986649234939449e+00
5.094673871994018555e+00,1.923099751673902347e+00
5.103677511215209961e+00,1.923208966847169910e+00
5.114678144454956055e+00,1.923323928815779071e+00
5.124197244644165039e+00,1.923434688213563559e+00
5.135181903839111328e+00,1.923555808562018576e+00
5.144180774688720703e+00,1.923686439140871229e+00
5.154186248779296875e+00,1.923821954815233770e+00
5.163181543350219727e+00,1.923965013796311130e+00
5.173181295394897461e+00,1.924122221704968938e+00
5.181181430816650391e+00,1.924238725596686406e+00
5.190181255340576172e+00,1.924379122903984607e+00
5.199181079864501953e+00,1.924500056842531670e+00
5.209198474884033203e+00,1.924609669397556733e+00
5.217183113098144531e+00,1.924711032293730195e+00
5.227718353271484375e+00,1.924805643998414251e+00
5.235728979110717773e+00,1.924923239951383369e+00
5.245702981948852539e+00,1.925048976491345432e+00
5.255879878997802734e+00,1.925175065657378504e+00
5.263799905776977539e+00,1.925296900372911679e+00
5.273791313171386719e+00,1.925430887693944548e+00
5.281794071197509766e+00,1.925575679223541892e+00
5.292046546936035156e+00,1.925673013395303057e+00
5.300039529800415039e+00,1.925735549486333298e+00
